company name,website,address,source
,,,
LifeSpan BioSciences,http://www.lsbio.com/,"2401 Fourth Avenue  Suite 900, Seattle, Washington 98121, United States",http://www.biocompare.com
Abcam,http://www.abcam.com,"330 Cambridge Science Park, Cambridge , United Kingdom",http://www.biocompare.com
antibodies-online,http://www.antibodies-online.com,"Contact details: U.S. Customers  antibodies-online Inc.  2 Ravinia Drive, Suite 500, Atlanta, Georgia 30346, United States",http://www.biocompare.com
R&D; Systems,http://www.rndsystems.com,"614 McKinley Place N.E., Minneapolis, Minnesota 55413, United States",http://www.biocompare.com
GeneTex,http://www.genetex.com,"GeneTex, Inc.  2456 Alton Parkway, Irvine, California 92606, United States",http://www.biocompare.com
Novus Biologicals,http://www.novusbio.com,"United States:  8100 Southpark Way   Unit A-8, Littleton, Colorado 80120, United States",http://www.biocompare.com
Thermo Scientific Pierce Antibodies,http://www.bioreagents.com,"Thermo Fisher Scientific  3747 N. Meridian Rd.  P.O. Box 117, Rockford, Illinois 61105, United States",http://www.biocompare.com
Acris Antibodies GmbH,http://www.acris-antibodies.com/,"For US-customers:  Acris Antibodies, Inc.  Centerpark Plaza  6815 Flanders Drive, Suite 140, San Diego, California 92121, United States",http://www.biocompare.com
Proteintech Group Inc,http://www.ptglab.com,"2201 W. Campbell Park Drive, Chicago, Illinois 60612, United States",http://www.biocompare.com
AbD Serotec (Bio-Rad),http://www.abdserotec.com,,http://www.biocompare.com
"GenWay Biotech, Inc.",http://www.genwaybio.com,"6777 Nancy Ridge Drive, San Diego, California 92121, United States",http://www.biocompare.com
Atlas Antibodies,http://www.atlasantibodies.com,"AlbaNova University Center  , Stockholm , Sweden",http://www.biocompare.com
"Raybiotech, Inc.",http://www.raybiotech.com,"3607 Parkway Lane, Ste. 200, Norcross, Georgia 30092, United States",http://www.biocompare.com
BD Biosciences,http://www.bdbiosciences.com/,"Reagents   10975 Torreyana Road, San Diego, California 92121, United States",http://www.biocompare.com
MyBioSource.com,http://www.MyBioSource.com,"P.O. Box 153308, San Diego, California , United States",http://www.biocompare.com
Cell Sciences,http://www.cellsciences.com/,"480 Neponset Street  Building 12A, Canton, Massachusetts 2021, United States",http://www.biocompare.com
OriGene Technologies,http://www.origene.com,"9620 Medical Center Drive # 200, Rockville, Maryland 20850, United States",http://www.biocompare.com
PBL InterferonSource,http://www.interferonsource.com/,"131 Ethel Road West. Suite 6, Piscataway, New Jersey , United States",http://www.biocompare.com
Aviva Systems Biology,http://www.avivasysbio.com/,"11025 Roselle Street, Suite 100,, San Diego, California 92121, United States",http://www.biocompare.com
BioLegend,http://www.biolegend.com,"9727 Pacific Heights Blvd, San Diego, California 92121, United States",http://www.biocompare.com
Bethyl Laboratories,http://www.bethyl.com,"Bethyl Laboratories  P.O. Box 850, Montgomery, Texas 77356, United States",http://www.biocompare.com
Cell Signaling Technology,http://www.cellsignal.com/,"Cell Signaling Technology, Inc.  3 Trask Lane, Danvers, Massachusetts 1923, United States",http://www.biocompare.com
Abgent,http://www.abgent.com,"ABGENT - a WuXi AppTec Company, 9765 Clairemont Mesa Blvd., Ste. C, San Diego, California 92124, United States",http://www.biocompare.com
Bioss Inc.,www.biossusa.com,"500 West Cummings Park, Suite 6500, Woburn, Massachusetts 01801, United States",http://www.biocompare.com
StressMarq Biosciences Inc,http://www.stressmarq.com,"PO Box 55036 Cadboro Bay, 3825 Cadboro Bay Rd, Victoria, British Columbia V8N 4G0, Canada",http://www.biocompare.com
Abnova Corporation,http://www.abnova.com/,"Abnova Corporation (HQ)   9th Fl., No. 108, Jhouzih St.   Neihu District,, Taipei 114, Taiwan",http://www.biocompare.com
"ProSci, Inc",http://www.prosci-inc.com,"ProSci Incorporated  12170 Flint Place, Poway, California 92064, United States",http://www.biocompare.com
Life Technologies,www.lifetechnologies.com,"5791 Van Allen Way, Carlsbad, CA 92008, United States",http://www.biocompare.com
MBL International,http://mblintl.com,"4 H Constitution Way, Woburn, Massachusetts 1801, United States",http://www.biocompare.com
St John's Laboratory,www.stjohnslabs.com/,"Unit 31, 35 Evelyn Street, London SE8 5RT, United Kingdom",http://www.biocompare.com
"Santa Cruz Biotechnology, Inc.",http://www.scbt.com/,"2145 Delaware Avenue  Santa Cruz,, Santa Cruz, California 95060, United States",http://www.biocompare.com
Sino Biological,http://www.sinobiological.com/,"Suite B-309 (also Suite B-209, B-203)   14 Zhong He Street, BDA, Beijing 100176, China",http://www.biocompare.com
Boster Immunoleader,www.bosterbio.com,"3942 B Valley Ave., Pleasanton, CA 94566, United States",http://www.biocompare.com
Spring Bioscience,http://www.springbio.com,"6920 Koll Center Parkway, Suite 211, Pleasanton, California 94566, United States",http://www.biocompare.com
EMD Millipore,www.emdmillipore.com/,"EMD Millipore is the Life Science division of Merck KGaA of Darmstadt, Germany    Millipore Corporation   290 Concord Road, Billerica, Massachusetts 1821, United States",http://www.biocompare.com
"Rockland Immunochemicals, Inc.",http://www.rockland-inc.com,"P.O. Box 326, Gilbertsville, Pennsylvania 19525, United States",http://www.biocompare.com
"Enzo Life Sciences, Inc.",http://www.enzolifesciences.com,"10 Executive Blvd., Farmingdale, NY 11735, United States",http://www.biocompare.com
BioXCell,http://www.bxcell.com,"10 Technology Drive, Suite 2B NH, Lebanon",http://www.biocompare.com
Creative Biomart,http://www.creative-biomart.com/,"45-16 Ramsey Road, Shirley, New York 11967, United States",http://www.biocompare.com
BioVision,http://www.biovision.com/,"BioVision, Inc.  980 Linda Vista Avenue, Mountain view, California 94043, United States",http://www.biocompare.com
Abbexa,www.abbexa.com/,"16 Iceni Way, Cambridge CB4 2NZ, United Kingdom",http://www.biocompare.com
BioLogo,www.antibodies-biologo.com,"Steindamm 1 G-H, Kronshagen , Germany",http://www.biocompare.com
Takara Bio,http://www.clontech.com/takara,"1290 Terra Bella Ave., Mountain View, CA 94043, United States",http://www.biocompare.com
BACHEM,www.bachem.com,"3132 Kashiwa St., Torrance, California 90505, United States",http://www.biocompare.com
Abbiotec,http://www.abbiotec.com,"7985 Dunbrook Road, Suite A, San Diego, California 92126, United States",http://www.biocompare.com
Progen Biotechnik GmbH,http://www.progen.de/,"Maaßstrasse 30, Heidelberg 69123, Germany",http://www.biocompare.com
eBioscience,http://www.ebioscience.com,"10255 Science Center Dr, San Diego, California , United States",http://www.biocompare.com
Biorbyt,http://www.biorbyt.com/,United States,http://www.biocompare.com
AMSBIO LLC,http://www.amsbio.com,"23591 El Toro Rd, Suite #167,, Lake Forest, California 92630, United States",http://www.biocompare.com
Biomatik,http://www.biomatik.com/,"105-501 Silverside Rd, Wilmington, Delaware 19809, United States",http://www.biocompare.com
IBL - America (Immuno-Biological Laboratories),http://www.ibl-america.com/,"8201 Central Ave NE Suite P, Minneapolis, Minnesota 55432, United States",http://www.biocompare.com
"Covance, Inc.",http://www.covance.com,"5858 Horton Street, Emeryville, California 94608, United States",http://www.biocompare.com
"Alomone Labs, Ltd.",http://www.alomone.com/,"PO Box 4287, Jerusalem 91042, Israel",http://www.biocompare.com
Everest Biotech,http://www.everestbiotech.com,"77 Heyford Park  Upper Heyford, Oxfordshire , United Kingdom",http://www.biocompare.com
Fitzgerald Industries International,http://www.fitzgerald-fii.com,"Fitzgerald Industries International, Inc.  Suite 1A North  30 Sudbury Road, Acton, Massachusetts 1720, United States",http://www.biocompare.com
Agrisera,http://www.agrisera.com,"Box 57, Vännäs , Sweden",http://www.biocompare.com
"AnaSpec, EGT Group",http://www.anaspec.com,"34801 Campus Drive, Fremont, California 94555, United States",http://www.biocompare.com
Columbia Biosciences Corporation,http://www.columbiabiosciences.com,"4985 Winchester Blvd., Frederick, Maryland 21703, United States",http://www.biocompare.com
CEDARLANE,http://www.cedarlanelabs.com/,"4410 Paletta Court, Burlington, Ontario , Canada",http://www.biocompare.com
HyTest Ltd.,http://www.hytest.fi,"Intelligate, 6th floor  JoGBahaisenkatu 6, Turku 20520, Finland",http://www.biocompare.com
BioPorto Diagnostics,http://www.bioporto.com,"Grusbakken 8, Gentofte , Denmark",http://www.biocompare.com
ImmuQuest Ltd.,http://www.immuquest.com,"26 The Green  Seamer,, N.Yorkshire , United Kingdom",http://www.biocompare.com
Randox Life Sciences,http://www.randox-lifesciences.com,"55 Diamond Road, Crumlin,  Co. Antrim,, United Kingdom",http://www.biocompare.com
Synaptic Systems GmbH,http://www.sysy.com/,"Rudolf-Wissell-Str. 28, Goettingen 37079, Germany",http://www.biocompare.com
Hycult Biotech,http://www.hycultbiotech.com,"Americas  600 West Germantown Pike  Suite 110, Plymouth Meeting, Pennsylvania 19462, United States",http://www.biocompare.com
"BioVendor Laboratory Medicine, Inc.",http://www.biovendor.com,"Karasek 1/1767, Brno , Czech Republic",http://www.biocompare.com
"STEMCELL Technologies, Inc.",http://www.stemcell.com,"570 West Seventh Avenue, Suite 400, Vancouver, British Columbia , Canada",http://www.biocompare.com
SouthernBiotech,http://www.southernbiotech.com,"160 Oxmoor Boulevard, Birmingham, Alabama 35209, United States",http://www.biocompare.com
Novatein Biosciences,www.novateinbio.com/,"701 Concord Ave., Cambridge, MA 02138, United States",http://www.biocompare.com
Stemgent,http://www.stemgent.com,"10575 Roselle Street, San Diego, California 92121, United States",http://www.biocompare.com
Innovative Research,http://www.innov-research.com/,"46430 Peary Court, Novi, Michigan 48377, United States",http://www.biocompare.com
PTM Biolabs,www.ptm-biolab.com,"2201 West Campbell Park Drive, Suite 226, Chicago, IL 60612, United States",http://www.biocompare.com
Advanced Targeting Systems,http://www.atsbio.com,"10451 Roselle Street, #300, San Diego, California 92121, United States",http://www.biocompare.com
Antigenix America Inc.,http://www.antigenix.com,"Antigenix America Inc.  P.O. Box 2666, Huntington Station, New York 11746, United States",http://www.biocompare.com
PeproTech,http://www.peprotech.com,"Princeton Business Park 5 Crescent Ave. PO Box 275, Rocky Hill, New Jersey 8553, United States",http://www.biocompare.com
Kamiya Biomedical Company,http://www.kamiyabiomedical.com/,"12779 Gateway Drive, Seattle, Washington 98168, United States",http://www.biocompare.com
Zymo Research,http://www.zymoresearch.com,"Zymo Research  17062 Murphy Ave., Irvine, California 92614, United States",http://www.biocompare.com
B-Bridge International,http://lifesciences.b-bridge.com/,"20813 Stevens Creek Blvd. Suite #200, Cupertino, California 95014, United States",http://www.biocompare.com
IBL International GmbH,http://www.ibl-international.com/,"IBL International GmbH  Flughafenstrasse 52a  , HAMBURG , Germany",http://www.biocompare.com
"MD Bioproducts, division of MD Biosciences",http://www.mdbioproducts.com,"North America:  MD Biosciences, Inc  2575 University Ave W #100,, St Paul, Minnesota 55114, United States",http://www.biocompare.com
Roche Applied Science,http://www.roche-applied-science.com,"Roche Diagnostics Corporation  P.O. Box 50414  9115 Hague Road, Indianapolis, Indiana , United States",http://www.biocompare.com
"EXBIO Praha, a.s.",http://www.exbio.cz/,"EXBIO Praha, a.s.  Nad Safinou II 341  252 42, Vestec , Czech Republic",http://www.biocompare.com
ECM Biosciences,www.ecmbiosciences.com,"116C South Main Street, Versailles, Kentucky , United States",http://www.biocompare.com
"Wako Chemicals USA, Inc.",http://www.wakousa.com,"1600 Bellwood Road, Richmond, Virginia 23237, United States",http://www.biocompare.com
"Primm Biotech, Inc.",http://www.primmbiotech.com,"Box 425695 Kendall Square, Cambridge, Massachusetts 2142, United States",http://www.biocompare.com
UCDavis/NIH NeuroMab Facility,http://neuromab.ucdavis.edu/,"Department of Neurobiology, Physiology & Behavior  196 Briggs Hall  University of California, Davis, California , United States",http://www.biocompare.com
BIOCARE MEDICAL,http://www.biocare.net,"BIOCARE MEDICAL  4040 Pike Lane, Concord, California 94520, United States",http://www.biocompare.com
CalBioreagents,http://www.calbioreagents.com,"3182 Campus Drive, #368, San Mateo, California 94403, United States",http://www.biocompare.com
Protein Mods,http://www.proteinmods.com/http://,"1202 Ann Street, Madison, Wisconsin 53713, United States",http://www.biocompare.com
GE Healthcare Life Sciences,http://www.gelifesciences.com,"US and Canada  800 Centennial Avenue  PO Box 1327, Piscataway, New Jersey , United States",http://www.biocompare.com
Leica Microsystems,Leica Microsystems,"1700 Leider lane, Buffalo Grove, Illinois 60089, United States",http://www.biocompare.com
"Cytoskeleton, Inc.",http://cytoskeleton.com/,"1830 S. Acoma St., Denver, Colorado 80223, United States",http://www.biocompare.com
LI-COR Biosciences,www.licor.com/bio,"4647 Superior St., Lincoln, NE 68504, United States",http://www.biocompare.com
3H Biomedical AB,http://www.3hbiomedical.com,"Dag Hammarskjölds väg 34,   House Generalen, Uppsala Science Park, Uppsala , Sweden",http://www.biocompare.com
Abgent,http://www.abgent.com,"ABGENT - a WuXi AppTec Company, 9765 Clairemont Mesa Blvd., Ste. C, San Diego, California 92124, United ",http://www.biocompare.com
